"","Country","% of population by age[1]","% of population by age[1]","% of population by age[1]"
"1","Country","0 to 14","15 to 64","65+"
"2","Afghanistan","39.80%","57.35%","2.85%"
"3","Albania","17.90%","67.53%","14.57%"
"4","Algeria","28.78%","64.29%","6.93%"
"5","American Samoa","25.91%","65.89%","8.20%"
"6","Andorra","12.31%","68.17%","19.52%"
"7","Angola","47.18%","50.49%","2.33%"
"8","Anguilla","21.00%","67.88%","11.12%"
"9","Antigua and Barbuda","21.97%","67.94%","10.09%"
"10","Argentina","23.51%","63.83%","12.66%"
"11","Armenia","17.98%","67.53%","14.49%"
"12","Aruba (Netherlands)","17.32%","66.11%","16.58%"
"13","Australia","18.43%","64.89%","16.69%"
"14","Austria","14.08%","65.11%","20.81%"
"15","Azerbaijan","21.78%","69.64%","8.58%"
"16","Bahamas","21.37%","68.80%","9.83%"
"17","Bahrain","18.14%","77.83%","4.03%"
"18","Bangladesh","25.38%","67.09%","7.53%"
"19","Barbados","16.78%","67.56%","15.66%"
"20","Belarus","15.83%","66.81%","17.36%"
"21","Belgium","17.03%","63.06%","19.91%"
"22","Belize","30.93%","64.15%","4.92%"
"23","Benin","45.37%","52.18%","2.45%"
"24","Bermuda","16.45%","61.66%","21.89%"
"25","Bhutan","23.49%","69.97%","6.54%"
"26","Bolivia","29.14%","64.03%","6.84%"
"27","Bosnia and Herzegovina","13.14%","69.00%","17.86%"
"28","Botswana","29.17%","64.88%","5.95%"
"29","Brazil","19.77%","69.72%","10.51%"
"30","British Virgin Islands","16.56%","71.87%","11.58%"
"31","Brunei","21.83%","71.07%","7.10%"
"32","Bulgaria","14.03%","65.17%","20.81%"
"33","Burkina Faso","42.19%","54.62%","3.19%"
"34","Burundi","42.67%","54.03%","3.30%"
"35","Cape Verde","26.68%","67.18%","6.14%"
"36","Cambodia","29.47%","65.39%","5.14%"
"37","Cameroon","41.69%","55.12%","3.19%"
"38","Canada","15.65%","63.85%","20.50%"
"39","Cayman Islands","17.48%","66.48%","16.04%"
"40","Central African Republic","38.84%","57.71%","3.45%"
"41","Chad","46.24%","51.27%","2.49%"
"42","Chile","19.34%","67.56%","13.09%"
"43","China","16.48%","69.40%","14.11%"
"44","Colombia","22.45%","66.66%","10.89%"
"45","Comoros","33.45%","62.00%","4.55%"
"46","Democratic Republic of the Congo","45.99%","51.52%","2.49%"
"47","Republic of the Congo","40.44%","56.15%","3.41%"
"48","Cook Islands","18.43%","66.23%","15.34%"
"49","Costa Rica","21.49%","68.59%","9.92%"
"50","Croatia","13.98%","63.39%","22.63%"
"51","Cuba","16.39%","66.81%","16.80%"
"52","Curaçao","19.30%","62.70%","18.00%"
"53","Cyprus","15.63%","70.36%","14.01%"
"54","Czech Republic","14.68%","64.18%","21.13%"
"55","Denmark","16.24%","63.13%","20.63%"
"56","Djibouti","28.65%","67.21%","4.15%"
"57","Dominica","20.82%","65.82%","13.36%"
"58","Dominican Republic","25.92%","67.09%","6.99%"
"59","Ecuador","24.49%","66.44%","9.07%"
"60","Egypt","34.37%","60.27%","5.36%"
"61","El Salvador","25.40%","66.39%","8.21%"
"62","Equatorial Guinea","36.05%","59.01%","4.94%"
"63","Eritrea","36.27%","59.73%","4.00%"
"64","Estonia","15.56%","62.27%","22.17%"
"65","Eswatini (Swaziland)","32.16%","63.88%","3.97%"
"66","Ethiopia","38.91%","57.55%","3.54%"
"67","Faroe Islands","19.90%","61.94%","18.16%"
