"","Happiness.Rank","Happiness.Score","Economy..GDP.per.Capita.","Health..Life.Expectancy.","suicide.tot.normal","Year","Country","continent"
"Argentina2015",30,6.574,1.05351,0.78723,77.406274679075,2015,"Argentina","Europe"
"Armenia2015",127,4.35,0.76821,0.7299,26.4726767990241,2015,"Armenia","Europe"
"Armenia2016",121,4.36,0.86086,0.64083,27.9162828177779,2016,"Armenia","Europe"
"Australia2015",10,7.284,1.33358,0.93156,136.101311172245,2015,"Australia","Europe"
"Austria2015",13,7.2,1.33723,0.89042,152.201149818247,2015,"Austria","Europe"
"Austria2016",12,7.119,1.45038,0.80565,160.462195253766,2016,"Austria","Asia"
"Belgium2015",19,6.937,1.30782,0.89667,175.72829826109,2015,"Belgium","Europe"
"Brazil2015",16,6.983,0.98124,0.69702,58.4183907562356,2015,"Brazil","Europe"
"Chile2015",27,6.67,1.10715,0.85857,110.951980670934,2015,"Chile","Europe"
"Colombia2015",33,6.477,0.91861,0.69077,52.4157702509801,2015,"Colombia","Europe"
"Croatia2015",62,5.759,1.08254,0.78805,184.67294521361,2015,"Croatia","Europe"
"Croatia2016",74,5.488,1.18649,0.70524,191.475123793013,2016,"Croatia","Asia"
"Cyprus2015",67,5.689,1.20813,0.92356,50.2489205903746,2015,"Cyprus","North America"
"Cyprus2016",69,5.546,1.31857,0.8488,50.60842574057,2016,"Cyprus","Asia"
"Czech Republic2015",31,6.505,1.17898,0.84483,138.848220475357,2015,"Czech Republic","Europe"
"Czech Republic2016",27,6.596,1.30915,0.76376,147.593343831349,2016,"Czech Republic","Asia"
"Denmark2015",3,7.527,1.32548,0.87464,104.773121607413,2015,"Denmark","Europe"
"Ecuador2015",48,5.975,0.86402,0.79075,73.826766764662,2015,"Ecuador","Oceania"
"Estonia2015",73,5.429,1.15174,0.77361,156.821745948772,2015,"Estonia","North America"
"Finland2015",6,7.406,1.29025,0.88911,141.070752096232,2015,"Finland","Europe"
"Georgia2015",130,4.297,0.7419,0.72926,55.5170020818876,2015,"Georgia","South America"
